aperture_radius,lognormal,beam_wandering,elliptical_beam,total_probability,beta,beta_total_probability,num_total_probability,num_beta_total_probability,num_elliptical_beam
4.500e-02,1.881e-01,4.103e-01,1.505e-01,7.692e-02,1.162e-01,8.761e-02,7.518e-02,3.943e-02,1.916e-01
4.600e-02,1.908e-01,3.770e-01,1.358e-01,7.580e-02,1.222e-01,8.543e-02,7.889e-02,4.292e-02,1.768e-01
4.700e-02,1.940e-01,2.286e-01,1.237e-01,7.292e-02,1.277e-01,7.932e-02,8.342e-02,4.752e-02,1.700e-01
4.800e-02,1.954e-01,2.057e-01,1.130e-01,6.923e-02,1.328e-01,7.408e-02,8.616e-02,5.036e-02,1.571e-01
4.900e-02,1.968e-01,2.346e-01,1.397e-01,5.832e-02,1.383e-01,6.101e-02,9.003e-02,5.435e-02,1.446e-01
5.000e-02,1.982e-01,1.068e-01,1.660e-01,4.474e-02,1.426e-01,4.725e-02,9.261e-02,5.709e-02,1.333e-01
5.100e-02,1.996e-01,7.911e-02,1.899e-01,2.052e-02,1.463e-01,2.121e-02,9.633e-02,6.102e-02,1.406e-01
5.200e-02,1.997e-01,2.391e-01,2.199e-01,5.836e-02,1.515e-01,5.656e-02,9.704e-02,6.232e-02,1.682e-01
5.300e-02,2.005e-01,1.928e-01,2.539e-01,,1.547e-01,,1.002e-01,6.549e-02,1.949e-01
5.400e-02,1.997e-01,2.605e-01,2.871e-01,,1.565e-01,,1.004e-01,6.664e-02,2.227e-01
5.500e-02,1.990e-01,3.249e-01,3.202e-01,,1.573e-01,,1.026e-01,7.003e-02,2.511e-01
5.600e-02,1.987e-01,3.837e-01,3.531e-01,,1.606e-01,,1.034e-01,7.062e-02,2.833e-01
5.700e-02,1.972e-01,4.418e-01,3.905e-01,,1.639e-01,,1.049e-01,7.336e-02,3.171e-01
5.800e-02,1.949e-01,4.909e-01,4.241e-01,,1.636e-01,,1.061e-01,7.474e-02,3.504e-01
5.900e-02,1.931e-01,5.419e-01,4.554e-01,,1.630e-01,,1.074e-01,7.596e-02,3.816e-01
6.000e-02,1.910e-01,5.839e-01,4.877e-01,,1.615e-01,,1.080e-01,7.761e-02,4.104e-01
6.100e-02,1.894e-01,6.236e-01,5.225e-01,,1.614e-01,,1.066e-01,7.803e-02,4.475e-01
6.200e-02,1.853e-01,6.628e-01,5.567e-01,,1.612e-01,,1.079e-01,7.809e-02,4.800e-01
6.300e-02,1.824e-01,6.967e-01,5.895e-01,,1.610e-01,,1.080e-01,7.954e-02,5.117e-01
6.400e-02,1.798e-01,7.263e-01,6.217e-01,,1.599e-01,,1.048e-01,7.800e-02,5.439e-01
6.500e-02,1.751e-01,7.505e-01,6.472e-01,,1.566e-01,,1.050e-01,7.763e-02,5.705e-01
